Ruleta-Swap,Ruleta-Ins,Torneo-Swap,Torneo-Ins
271.448685322328,261.552349058754,248.398096412579,248.341703012364
256.100794659639,254.160104877067,270.523367394416,248.398096412579
262.477307375286,248.398096412579,244.88553901077,255.635433153627
268.742310139764,248.398096412579,249.258836659387,248.398096412579
254.160104877067,261.552349058753,249.258836659387,254.160104877067
255.942459333312,253.014258523652,248.398096412579,296.059667677122
244.88553901077,244.88553901077,283.491143803389,279.852520495896
248.398096412579,269.543804902651,254.160104877067,244.88553901077
254.160104877067,244.88553901077,261.930352113347,244.88553901077
249.258836659387,249.258836659387,248.398096412579,244.88553901077
253.014258523652,244.88553901077,248.398096412579,248.341703012364
249.258836659387,244.88553901077,254.160104877067,253.014258523652
268.742310139764,255.635433153627,248.341703012364,278.028405637665
249.258836659387,254.160104877067,248.398096412579,269.773889600254
248.341703012364,268.16587268483,288.198820819026,244.88553901077
254.160104877067,256.100794659639,253.014258523652,244.88553901077
254.160104877067,244.88553901077,248.398096412579,248.398096412579
253.014258523652,262.477307375286,257.617640869872,280.793351943697
253.014258523652,268.16587268483,249.258836659387,248.398096412579
249.258836659387,248.398096412579,248.341703012364,253.014258523652
244.88553901077,244.88553901077,255.942459333312,254.086661722123
244.88553901077,249.258836659387,244.88553901077,262.477307375286
248.398096412579,248.398096412579,254.160104877067,248.398096412579
248.341703012364,249.258836659387,248.341703012364,248.398096412579
258.968756923752,268.742310139764,280.244534160488,254.160104877067
268.742310139764,244.88553901077,248.398096412579,248.398096412579
248.341703012364,277.336535478774,255.635433153627,244.88553901077
244.88553901077,283.491143803389,280.769550162993,244.88553901077
248.398096412579,254.160104877067,248.398096412579,249.258836659387
256.100794659639,256.100794659639,261.930352113347,255.635433153627
