Ruleta-swap,Torneo-swap,Ruleta-ins,Torneo-ins
244.886,244.886,244.886,244.886
262.477,286.217,248.398,244.886
262.477,248.398,262.477,244.886
268.742,249.259,262.477,249.259
248.342,268.742,268.742,255.942
248.398,262.477,244.886,248.398
256.101,248.398,244.886,244.886
244.886,262.477,248.398,248.398
261.552,261.93,253.014,244.886
244.886,248.342,255.635,254.16
253.014,249.259,253.014,244.886
262.477,255.635,269.544,244.886
248.398,254.16,244.886,248.398
248.398,244.886,248.398,262.477
268.742,261.552,268.742,255.635
248.342,255.635,283.557,254.16
244.886,248.398,248.398,262.477
261.93,265.184,271.449,249.259
248.398,255.635,262.477,262.477
249.259,262.477,254.16,248.398
